,week_of,show_name,show_type,theatre,num_previews,num_performances,grosses,attendance,pct_capacity
1,1980-06-22,A DAY IN HOLLYWOOD/A NIGHT IN THE UKRAINE,Musical,Royale,0,8,137347.0,7713,0.91
2,1980-06-22,AIN'T MISBEHAVIN' 1978,Musical,Plymouth,0,8,93054.0,5985,0.7
3,1980-06-22,ANNIE 1977,Musical,Alvin,0,8,179697.0,10899,1.02
4,1980-06-22,BARNUM,Musical,St. James,0,8,229976.0,12772,1.0
5,1980-06-22,BENT,Play,New Apollo,0,8,52885.0,4400,0.48
6,1980-06-22,BLACKSTONE!,Special,Majestic,0,8,108157.0,7448,0.56
7,1980-06-22,CHILDREN OF A LESSER GOD 1980,Play,Longacre,0,8,143431.0,8567,1.0
8,1980-06-22,DANCIN',Musical,Broadhurst,0,8,126432.0,7519,0.82
9,1980-06-22,DEATHTRAP,Play,Music Box,0,8,53827.0,4726,0.58
10,1980-06-22,EVITA 1979,Musical,Broadway,0,8,272523.0,14072,1.0
11,1980-06-22,HOME,Play,Cort,0,8,51623.0,4124,0.47
12,1980-06-22,I OUGHT TO BE IN PICTURES,Play,Eugene O'Neill,0,8,98281.0,7236,0.84
13,1980-06-22,MORNING'S AT SEVEN 1980,Play,Lyceum,0,8,109722.0,6985,0.94
14,1980-06-22,NUTS,Play,Biltmore (Ne),0,8,59550.0,5612,0.74
15,1980-06-22,OH! CALCUTTA!,Musical,Edison,0,8,36113.0,3009,0.75
16,1980-06-22,OKLAHOMA! 1979,Musical,Palace,0,8,142681.0,8470,0.76
17,1980-06-22,PETER PAN 1979,Musical,Lunt-Fontanne,0,8,176828.0,9998,0.84
18,1980-06-22,ROMANTIC COMEDY,Play,Ethel Barrymore,0,8,60442.0,4841,0.55
19,1980-06-22,SUGAR BABIES,Musical,Hellinger,0,8,259617.0,12984,1.01
20,1980-06-22,SWEENEY TODD 1979,Musical,Uris,0,8,159842.0,11214,0.74
21,1980-06-22,TALLEY'S FOLLY,Play,Brooks Atkinson,0,8,125994.0,8271,0.95
22,1980-06-22,THE BEST LITTLE WHOREHOUSE IN TEXAS 1978,Musical,46Th Street,0,8,160683.0,6960,0.66
23,1980-06-22,THE ELEPHANT MAN 1979,Play,Booth,0,8,71006.0,5365,0.86
24,1980-06-22,THE MAN WHO CAME TO DINNER 1980,Play,Circle In The Square,8,0,42236.0,4398,0.79
25,1980-06-22,THE MUSIC MAN 1980,Musical,City Center,0,8,136166.0,8986,0.38
26,1980-06-22,THEY'RE PLAYING OUR SONG,Musical,Imperial,0,8,188585.0,10707,0.92
27,1980-06-22,WEST SIDE STORY 1980,Musical,Minskoff,0,8,207049.0,10516,0.81
28,1980-06-22,YOUR ARMS TOO SHORT TO BOX WITH GOD 1980,Musical,Ambassador,0,8,83183.0,5830,0.65
0,1980-06-29,A CHORUS LINE,Musical,Shubert,0,8,216447.0,11648,0.99
1,1980-06-29,A DAY IN HOLLYWOOD/A NIGHT IN THE UKRAINE,Musical,Royale,0,8,157537.0,8360,0.99
2,1980-06-29,AIN'T MISBEHAVIN' 1978,Musical,Plymouth,0,8,98194.0,6497,0.75
3,1980-06-29,ANNIE 1977,Musical,Alvin,0,8,178901.0,10909,1.02
4,1980-06-29,BARNUM,Musical,St. James,0,8,231454.0,12724,0.99
5,1980-06-29,BENT,Play,New Apollo,0,8,63754.0,5289,0.57
6,1980-06-29,BLACKSTONE!,Special,Majestic,0,8,115258.0,7841,0.59
7,1980-06-29,CHILDREN OF A LESSER GOD 1980,Play,Longacre,0,8,147642.0,8472,0.97
8,1980-06-29,DANCIN',Musical,Broadhurst,0,8,138819.0,8380,0.91
9,1980-06-29,DEATHTRAP,Play,Music Box,0,8,56458.0,4965,0.61
10,1980-06-29,EVITA 1979,Musical,Broadway,0,8,274371.0,14072,1.0
11,1980-06-29,HOME,Play,Cort,0,8,56384.0,5367,0.61
12,1980-06-29,I OUGHT TO BE IN PICTURES,Play,Eugene O'Neill,0,8,101790.0,7520,0.87
13,1980-06-29,MORNING'S AT SEVEN 1980,Play,Lyceum,0,8,110823.0,7045,0.95
14,1980-06-29,NUTS,Play,Biltmore (Ne),0,8,47373.0,3590,0.47
15,1980-06-29,OH! CALCUTTA!,Musical,Edison,0,8,38017.0,3168,0.79
16,1980-06-29,OKLAHOMA! 1979,Musical,Palace,0,8,146993.0,9277,0.84
17,1980-06-29,PETER PAN 1979,Musical,Lunt-Fontanne,0,8,187566.0,10531,0.89
18,1980-06-29,ROMANTIC COMEDY,Play,Ethel Barrymore,0,8,62975.0,5119,0.58
19,1980-06-29,SUGAR BABIES,Musical,Hellinger,0,8,261211.0,12984,1.01
20,1980-06-29,SWEENEY TODD 1979,Musical,Uris,0,8,199433.0,14073,0.93
21,1980-06-29,TALLEY'S FOLLY,Play,Brooks Atkinson,0,8,86306.0,7140,0.82
22,1980-06-29,THE BEST LITTLE WHOREHOUSE IN TEXAS 1978,Musical,46Th Street,0,8,165948.0,9829,0.94
23,1980-06-29,THE ELEPHANT MAN 1979,Play,Booth,0,8,73639.0,5528,0.88
24,1980-06-29,THE MAN WHO CAME TO DINNER 1980,Play,Circle In The Square,3,5,45062.0,4987,0.9
25,1980-06-29,THEY'RE PLAYING OUR SONG,Musical,Imperial,0,8,190851.0,10842,0.93
26,1980-06-29,WEST SIDE STORY 1980,Musical,Minskoff,0,8,205459.0,12106,0.93
27,1980-06-29,YOUR ARMS TOO SHORT TO BOX WITH GOD 1980,Musical,Ambassador,0,8,93385.0,6614,0.73
0,1980-07-06,A CHORUS LINE,Musical,Shubert,0,8,197636.0,11540,0.98
1,1980-07-06,A DAY IN HOLLYWOOD/A NIGHT IN THE UKRAINE,Musical,Royale,0,8,146041.0,8122,0.96
2,1980-07-06,AIN'T MISBEHAVIN' 1978,Musical,Plymouth,0,8,67616.0,4601,0.53
3,1980-07-06,ANNIE 1977,Musical,Alvin,0,8,186924.0,10453,0.97
4,1980-07-06,BARNUM,Musical,St. James,0,8,225216.0,12763,1.0
5,1980-07-06,BLACKSTONE!,Special,Majestic,0,8,71024.0,5213,0.39
6,1980-07-06,CAMELOT 1980,Musical,State,6,0,323487.0,15774,0.96
7,1980-07-06,CHILDREN OF A LESSER GOD 1980,Play,Longacre,0,8,140177.0,8192,0.94
8,1980-07-06,DANCIN',Musical,Broadhurst,0,8,105612.0,6974,0.76
9,1980-07-06,DEATHTRAP,Play,Music Box,0,8,43328.0,3925,0.49
10,1980-07-06,EVITA 1979,Musical,Broadway,0,8,276740.0,14072,1.0
11,1980-07-06,HOME,Play,Cort,0,8,35896.0,2931,0.33
12,1980-07-06,I OUGHT TO BE IN PICTURES,Play,Eugene O'Neill,0,8,81167.0,6527,0.76
13,1980-07-06,MORNING'S AT SEVEN 1980,Play,Lyceum,0,8,93118.0,6344,0.85
14,1980-07-06,NUTS,Play,Biltmore (Ne),0,8,38705.0,3258,0.43
15,1980-07-06,OH! CALCUTTA!,Musical,Edison,0,8,32621.0,2718,0.68
16,1980-07-06,OKLAHOMA! 1979,Musical,Palace,0,8,106438.0,7083,0.64
17,1980-07-06,PETER PAN 1979,Musical,Lunt-Fontanne,0,8,162834.0,9369,0.79
18,1980-07-06,ROMANTIC COMEDY,Play,Ethel Barrymore,0,8,50351.0,4438,0.51
19,1980-07-06,SUGAR BABIES,Musical,Hellinger,0,8,260397.0,12936,1.01
20,1980-07-06,TALLEY'S FOLLY,Play,Brooks Atkinson,0,8,77769.0,6881,0.79
21,1980-07-06,THE BEST LITTLE WHOREHOUSE IN TEXAS 1978,Musical,46Th Street,0,8,148184.0,8739,0.83
22,1980-07-06,THE ELEPHANT MAN 1979,Play,Booth,0,8,60760.0,4989,0.8
23,1980-07-06,THE MAN WHO CAME TO DINNER 1980,Play,Circle In The Square,0,8,39814.0,3612,0.65
24,1980-07-06,THEY'RE PLAYING OUR SONG,Musical,Imperial,0,8,151929.0,9441,0.81
25,1980-07-06,WEST SIDE STORY 1980,Musical,Minskoff,0,8,140197.0,8982,0.69
26,1980-07-06,YOUR ARMS TOO SHORT TO BOX WITH GOD 1980,Musical,Ambassador,0,8,78495.0,5519,0.61
0,1980-07-13,A CHORUS LINE,Musical,Shubert,0,8,202636.0,11447,0.97
1,1980-07-13,A DAY IN HOLLYWOOD/A NIGHT IN THE UKRAINE,Musical,Royale,0,8,147757.0,8131,0.96
2,1980-07-13,AIN'T MISBEHAVIN' 1978,Musical,Plymouth,0,8,79310.0,4395,0.51
3,1980-07-13,ANNIE 1977,Musical,Alvin,0,8,200801.0,10885,1.01
4,1980-07-13,BARNUM,Musical,St. James,0,8,227349.0,12688,0.99
5,1980-07-13,BLACKSTONE!,Special,Majestic,0,8,75260.0,5293,0.4
6,1980-07-13,CAMELOT 1980,Musical,State,0,8,406352.0,21192,0.95
7,1980-07-13,CHILDREN OF A LESSER GOD 1980,Play,Longacre,0,8,142595.0,8390,0.96
8,1980-07-13,DANCIN',Musical,Broadhurst,0,8,125628.0,8013,0.87
9,1980-07-13,DEATHTRAP,Play,Music Box,0,8,55681.0,6009,0.74
10,1980-07-13,EVITA 1979,Musical,Broadway,0,8,274977.0,14072,1.0
11,1980-07-13,HOME,Play,Cort,0,8,50776.0,4322,0.49
12,1980-07-13,I OUGHT TO BE IN PICTURES,Play,Eugene O'Neill,0,8,95737.0,7436,0.86
13,1980-07-13,MORNING'S AT SEVEN 1980,Play,Lyceum,0,8,99597.0,5444,0.73
14,1980-07-13,NUTS,Play,Biltmore (Ne),0,8,43841.0,3913,0.52
15,1980-07-13,OH! CALCUTTA!,Musical,Edison,0,8,31964.0,2663,0.67
16,1980-07-13,OKLAHOMA! 1979,Musical,Palace,0,8,110276.0,7477,0.67
17,1980-07-13,PETER PAN 1979,Musical,Lunt-Fontanne,0,8,170282.0,9721,0.82
18,1980-07-13,ROMANTIC COMEDY,Play,Ethel Barrymore,0,8,50564.0,4223,0.48
19,1980-07-13,SUGAR BABIES,Musical,Hellinger,0,8,263021.0,12910,1.01
20,1980-07-13,TALLEY'S FOLLY,Play,Brooks Atkinson,0,8,84044.0,7504,0.86
21,1980-07-13,THE BEST LITTLE WHOREHOUSE IN TEXAS 1978,Musical,46Th Street,0,8,161536.0,9141,0.85
22,1980-07-13,THE ELEPHANT MAN 1979,Play,Booth,0,8,68947.0,5456,0.87
23,1980-07-13,THE MAN WHO CAME TO DINNER 1980,Play,Circle In The Square,0,8,47487.0,4545,0.82
24,1980-07-13,THEY'RE PLAYING OUR SONG,Musical,Imperial,0,8,168578.0,9996,0.86
25,1980-07-13,WEST SIDE STORY 1980,Musical,Minskoff,0,8,167158.0,10395,0.8
26,1980-07-13,YOUR ARMS TOO SHORT TO BOX WITH GOD 1980,Musical,Ambassador,0,8,87431.0,6284,0.7
0,1980-07-20,A CHORUS LINE,Musical,Shubert,0,8,214637.0,11639,0.99
1,1980-07-20,A DAY IN HOLLYWOOD/A NIGHT IN THE UKRAINE,Musical,Royale,0,8,146991.0,8048,0.95
2,1980-07-20,AIN'T MISBEHAVIN' 1978,Musical,Plymouth,0,8,87751.0,5959,0.69
3,1980-07-20,ANNIE 1977,Musical,Alvin,0,8,200187.0,10838,1.01
4,1980-07-20,BARNUM,Musical,St. James,0,8,226187.0,12663,0.99
5,1980-07-20,BLACKSTONE!,Special,Majestic,0,8,68653.0,5021,0.38
6,1980-07-20,CAMELOT 1980,Musical,State,0,8,413639.0,21183,0.95
7,1980-07-20,CHILDREN OF A LESSER GOD 1980,Play,Longacre,0,8,143924.0,8479,0.97
8,1980-07-20,DANCIN',Musical,Broadhurst,0,8,122550.0,7185,0.78
9,1980-07-20,DEATHTRAP,Play,Music Box,0,8,53272.0,5556,0.69
10,1980-07-20,EVITA 1979,Musical,Broadway,0,8,275179.0,14072,1.0
11,1980-07-20,HOME,Play,Cort,0,8,50185.0,5451,0.62
12,1980-07-20,I OUGHT TO BE IN PICTURES,Play,Eugene O'Neill,0,8,83059.0,6414,0.73
13,1980-07-20,MORNING'S AT SEVEN 1980,Play,Lyceum,0,8,87820.0,5800,0.78
14,1980-07-20,NUTS,Play,Biltmore (Ne),0,8,46596.0,4799,0.63
15,1980-07-20,OH! CALCUTTA!,Musical,Edison,0,8,32621.0,2718,0.68
16,1980-07-20,OKLAHOMA! 1979,Musical,Palace,0,8,105474.0,7011,0.63
17,1980-07-20,PETER PAN 1979,Musical,Lunt-Fontanne,0,8,172160.0,9427,0.79
18,1980-07-20,ROMANTIC COMEDY,Play,Ethel Barrymore,0,8,43225.0,3511,0.4
19,1980-07-20,SUGAR BABIES,Musical,Hellinger,0,8,263598.0,12984,1.01
20,1980-07-20,TALLEY'S FOLLY,Play,Brooks Atkinson,0,8,75621.0,6967,0.8
21,1980-07-20,THE BEST LITTLE WHOREHOUSE IN TEXAS 1978,Musical,46Th Street,0,8,161734.0,9136,0.85
22,1980-07-20,THE ELEPHANT MAN 1979,Play,Booth,0,8,70005.0,5176,0.83
23,1980-07-20,THE MAN WHO CAME TO DINNER 1980,Play,Circle In The Square,0,8,42044.0,4035,0.73
24,1980-07-20,THEY'RE PLAYING OUR SONG,Musical,Imperial,0,8,167702.0,9940,0.86
25,1980-07-20,WEST SIDE STORY 1980,Musical,Minskoff,0,8,156103.0,9862,0.76
26,1980-07-20,YOUR ARMS TOO SHORT TO BOX WITH GOD 1980,Musical,Ambassador,0,8,82537.0,6313,0.7
0,1980-07-27,A CHORUS LINE,Musical,Shubert,0,8,219509.0,11840,1.01
1,1980-07-27,A DAY IN HOLLYWOOD/A NIGHT IN THE UKRAINE,Musical,Royale,0,8,145204.0,8165,0.96
2,1980-07-27,AIN'T MISBEHAVIN' 1978,Musical,Plymouth,0,8,82971.0,5394,0.63
3,1980-07-27,ANNIE 1977,Musical,Alvin,0,8,201408.0,10908,1.02
4,1980-07-27,BARNUM,Musical,St. James,0,8,231998.0,12832,1.0
5,1980-07-27,BLACKSTONE!,Special,Majestic,0,8,92303.0,6879,0.52
6,1980-07-27,CAMELOT 1980,Musical,State,0,8,428978.0,21881,0.98
7,1980-07-27,CHILDREN OF A LESSER GOD 1980,Play,Longacre,0,8,144411.0,8438,0.96
8,1980-07-27,DANCIN',Musical,Broadhurst,0,8,138458.0,7947,0.87
9,1980-07-27,DEATHTRAP,Play,Music Box,0,8,59842.0,6219,0.77
10,1980-07-27,EVITA 1979,Musical,Broadway,0,8,277212.0,14072,1.0
11,1980-07-27,HOME,Play,Cort,0,8,50402.0,4378,0.5
12,1980-07-27,I OUGHT TO BE IN PICTURES,Play,Eugene O'Neill,0,8,78853.0,6161,0.7
13,1980-07-27,MORNING'S AT SEVEN 1980,Play,Lyceum,0,8,82874.0,5619,0.76
14,1980-07-27,OH! CALCUTTA!,Musical,Edison,0,8,37255.0,3104,0.78
15,1980-07-27,OKLAHOMA! 1979,Musical,Palace,0,8,109258.0,7311,0.66
16,1980-07-27,PETER PAN 1979,Musical,Lunt-Fontanne,0,8,172616.0,9825,0.83
17,1980-07-27,ROMANTIC COMEDY,Play,Ethel Barrymore,0,8,45412.0,3724,0.43
18,1980-07-27,SUGAR BABIES,Musical,Hellinger,0,8,263811.0,12984,1.01
19,1980-07-27,TALLEY'S FOLLY,Play,Brooks Atkinson,0,8,74298.0,6685,0.77
20,1980-07-27,THE BEST LITTLE WHOREHOUSE IN TEXAS 1978,Musical,46Th Street,0,8,151889.0,8762,0.82
21,1980-07-27,THE ELEPHANT MAN 1979,Play,Booth,0,8,70664.0,5417,0.86
22,1980-07-27,THE MAN WHO CAME TO DINNER 1980,Play,Circle In The Square,0,8,43431.0,4272,0.77
23,1980-07-27,THEY'RE PLAYING OUR SONG,Musical,Imperial,0,8,165611.0,9790,0.84
24,1980-07-27,WEST SIDE STORY 1980,Musical,Minskoff,0,8,162035.0,10202,0.79
25,1980-07-27,YOUR ARMS TOO SHORT TO BOX WITH GOD 1980,Musical,Ambassador,0,8,95243.0,7026,0.78
0,1980-08-03,A CHORUS LINE,Musical,Shubert,0,8,225373.0,11744,1.0
1,1980-08-03,A DAY IN HOLLYWOOD/A NIGHT IN THE UKRAINE,Musical,Royale,0,8,150459.0,8284,0.98
2,1980-08-03,AIN'T MISBEHAVIN' 1978,Musical,Plymouth,0,8,88631.0,6765,0.79
3,1980-08-03,ANNIE 1977,Musical,Alvin,0,8,200403.0,10883,1.01
4,1980-08-03,BARNUM,Musical,St. James,0,8,233317.0,12701,0.99
5,1980-08-03,BLACKSTONE!,Special,Majestic,0,8,54102.0,3976,0.3
6,1980-08-03,CAMELOT 1980,Musical,State,0,8,427658.0,21820,0.98
7,1980-08-03,CHILDREN OF A LESSER GOD 1980,Play,Longacre,0,8,146384.0,8493,0.97
8,1980-08-03,DANCIN',Musical,Broadhurst,0,8,146708.0,8439,0.92
9,1980-08-03,DEATHTRAP,Play,Music Box,0,8,60090.0,5769,0.71
10,1980-08-03,EVITA 1979,Musical,Broadway,0,8,276468.0,14072,1.0
11,1980-08-03,HOME,Play,Cort,0,8,49946.0,4494,0.51
12,1980-08-03,I OUGHT TO BE IN PICTURES,Play,Eugene O'Neill,0,8,94528.0,6430,0.73
13,1980-08-03,MORNING'S AT SEVEN 1980,Play,Lyceum,0,8,91058.0,6092,0.82
14,1980-08-03,OH! CALCUTTA!,Musical,Edison,0,8,39937.0,3328,0.83
15,1980-08-03,OKLAHOMA! 1979,Musical,Palace,0,8,109699.0,7415,0.67
16,1980-08-03,PETER PAN 1979,Musical,Lunt-Fontanne,0,8,185947.0,10399,0.88
17,1980-08-03,ROMANTIC COMEDY,Play,Ethel Barrymore,0,8,43022.0,3601,0.41
18,1980-08-03,SUGAR BABIES,Musical,Hellinger,0,8,259999.0,12855,1.0
19,1980-08-03,TALLEY'S FOLLY,Play,Brooks Atkinson,0,8,66367.0,5955,0.68
20,1980-08-03,THE BEST LITTLE WHOREHOUSE IN TEXAS 1978,Musical,46Th Street,0,8,156827.0,9010,0.84
21,1980-08-03,THE ELEPHANT MAN 1979,Play,Booth,0,8,74188.0,5417,0.86
22,1980-08-03,THE MAN WHO CAME TO DINNER 1980,Play,Circle In The Square,0,8,38321.0,3626,0.65
23,1980-08-03,THEY'RE PLAYING OUR SONG,Musical,Imperial,0,8,173613.0,10412,0.9
24,1980-08-03,WEST SIDE STORY 1980,Musical,Minskoff,0,8,164260.0,10563,0.81
25,1980-08-03,YOUR ARMS TOO SHORT TO BOX WITH GOD 1980,Musical,Ambassador,0,8,88520.0,5516,0.61
0,1980-08-10,A CHORUS LINE,Musical,Shubert,0,8,223518.0,11685,0.99
1,1980-08-10,A DAY IN HOLLYWOOD/A NIGHT IN THE UKRAINE,Musical,Royale,0,8,152656.0,8263,0.98
2,1980-08-10,AIN'T MISBEHAVIN' 1978,Musical,Plymouth,0,8,85149.0,5656,0.66
3,1980-08-10,ANNIE 1977,Musical,Alvin,0,8,200742.0,10876,1.01
4,1980-08-10,BARNUM,Musical,St. James,0,8,232313.0,12775,1.0
5,1980-08-10,BLACKSTONE!,Special,Majestic,0,8,54266.0,3897,0.29
6,1980-08-10,CAMELOT 1980,Musical,State,0,8,435168.0,22035,0.99
7,1980-08-10,CHILDREN OF A LESSER GOD 1980,Play,Longacre,0,8,148447.0,8585,0.98
8,1980-08-10,DANCIN',Musical,Broadhurst,0,8,148908.0,8651,0.94
9,1980-08-10,DEATHTRAP,Play,Music Box,0,8,60956.0,5949,0.74
10,1980-08-10,EVITA 1979,Musical,Broadway,0,8,278914.0,14068,1.0
11,1980-08-10,HOME,Play,Cort,0,8,51526.0,4697,0.53
12,1980-08-10,I OUGHT TO BE IN PICTURES,Play,Eugene O'Neill,0,8,84240.0,6615,0.75
13,1980-08-10,MORNING'S AT SEVEN 1980,Play,Lyceum,0,8,97099.0,6442,0.87
14,1980-08-10,OH! CALCUTTA!,Musical,Edison,0,8,36150.0,3013,0.75
15,1980-08-10,OKLAHOMA! 1979,Musical,Palace,0,8,111317.0,7507,0.68
16,1980-08-10,PETER PAN 1979,Musical,Lunt-Fontanne,0,8,180840.0,10218,0.86
17,1980-08-10,ROMANTIC COMEDY,Play,Ethel Barrymore,0,8,43853.0,3494,0.4
18,1980-08-10,SUGAR BABIES,Musical,Hellinger,0,8,263151.0,12872,1.0
19,1980-08-10,TALLEY'S FOLLY,Play,Brooks Atkinson,0,8,53265.0,4628,0.53
20,1980-08-10,THE BEST LITTLE WHOREHOUSE IN TEXAS 1978,Musical,46Th Street,0,8,161469.0,9271,0.87
21,1980-08-10,THE ELEPHANT MAN 1979,Play,Booth,0,8,73927.0,5363,0.86
22,1980-08-10,THE MAN WHO CAME TO DINNER 1980,Play,Circle In The Square,0,8,26201.0,2674,0.48
23,1980-08-10,THEY'RE PLAYING OUR SONG,Musical,Imperial,0,8,173398.0,10092,0.87
24,1980-08-10,WEST SIDE STORY 1980,Musical,Minskoff,0,8,164802.0,10444,0.81
25,1980-08-10,YOUR ARMS TOO SHORT TO BOX WITH GOD 1980,Musical,Ambassador,0,8,101944.0,6877,0.76
0,1980-08-17,A CHORUS LINE,Musical,Shubert,0,8,226194.0,11703,0.99
1,1980-08-17,A DAY IN HOLLYWOOD/A NIGHT IN THE UKRAINE,Musical,Royale,0,8,142751.0,7935,0.94
2,1980-08-17,AIN'T MISBEHAVIN' 1978,Musical,Plymouth,0,8,88159.0,5795,0.67
3,1980-08-17,ANNIE 1977,Musical,Alvin,0,8,200230.0,10847,1.01
4,1980-08-17,BARNUM,Musical,St. James,0,8,227445.0,12517,0.98
5,1980-08-17,BLACKSTONE!,Special,Majestic,0,8,56988.0,4399,0.33
6,1980-08-17,CAMELOT 1980,Musical,State,0,8,437548.0,21960,0.99
7,1980-08-17,CHILDREN OF A LESSER GOD 1980,Play,Longacre,0,8,145876.0,8617,0.99
8,1980-08-17,DANCIN',Musical,Broadhurst,0,8,147942.0,8857,0.96
9,1980-08-17,DEATHTRAP,Play,Music Box,0,8,57173.0,6571,0.81
10,1980-08-17,EVITA 1979,Musical,Broadway,0,8,276358.0,14058,1.0
11,1980-08-17,HOME,Play,Cort,0,8,47180.0,4228,0.48
12,1980-08-17,I OUGHT TO BE IN PICTURES,Play,Eugene O'Neill,0,8,75818.0,5925,0.67
13,1980-08-17,MORNING'S AT SEVEN 1980,Play,Lyceum,0,8,90475.0,6643,0.89
14,1980-08-17,OH! CALCUTTA!,Musical,Edison,0,8,37282.0,3106,0.78
15,1980-08-17,OKLAHOMA! 1979,Musical,Palace,0,8,104061.0,6976,0.63
16,1980-08-17,PETER PAN 1979,Musical,Lunt-Fontanne,0,8,171931.0,9668,0.81
17,1980-08-17,ROMANTIC COMEDY,Play,Ethel Barrymore,0,8,35857.0,2892,0.33
18,1980-08-17,SUGAR BABIES,Musical,Hellinger,0,8,241510.0,11730,0.92
19,1980-08-17,TALLEY'S FOLLY,Play,Brooks Atkinson,0,8,51668.0,4484,0.52
20,1980-08-17,THE BEST LITTLE WHOREHOUSE IN TEXAS 1978,Musical,46Th Street,0,8,146415.0,8240,0.77
21,1980-08-17,THE ELEPHANT MAN 1979,Play,Booth,0,8,70859.0,5040,0.8
22,1980-08-17,THE MAN WHO CAME TO DINNER 1980,Play,Circle In The Square,0,8,21304.0,2723,0.49
23,1980-08-17,THEY'RE PLAYING OUR SONG,Musical,Imperial,0,8,149463.0,8333,0.72
24,1980-08-17,WEST SIDE STORY 1980,Musical,Minskoff,0,8,157432.0,10120,0.78
25,1980-08-17,YOUR ARMS TOO SHORT TO BOX WITH GOD 1980,Musical,Ambassador,0,8,95050.0,6397,0.71
0,1980-08-24,42ND STREET '80,Musical,Winter Garden,6,0,82440.0,1499,0.17
1,1980-08-24,A CHORUS LINE,Musical,Shubert,0,8,245530.0,11973,1.02
2,1980-08-24,A DAY IN HOLLYWOOD/A NIGHT IN THE UKRAINE,Musical,Royale,0,8,161330.0,8317,0.98
3,1980-08-24,AIN'T MISBEHAVIN' 1978,Musical,Plymouth,0,8,106230.0,6842,0.79
4,1980-08-24,ANNIE 1977,Musical,Alvin,0,8,200473.0,10910,1.02
5,1980-08-24,BARNUM,Musical,St. James,0,8,241354.0,12935,1.01
6,1980-08-24,CAMELOT 1980,Musical,State,0,8,438282.0,21998,0.99
7,1980-08-24,CHILDREN OF A LESSER GOD 1980,Play,Longacre,0,8,152254.0,8668,0.99
8,1980-08-24,DANCIN',Musical,Broadhurst,0,8,162305.0,8808,0.96
9,1980-08-24,DEATHTRAP,Play,Music Box,0,8,75748.0,7009,0.87
10,1980-08-24,EVITA 1979,Musical,Broadway,0,8,276943.0,14072,1.0
11,1980-08-24,HOME,Play,Cort,0,8,59317.0,5262,0.6
12,1980-08-24,I OUGHT TO BE IN PICTURES,Play,Eugene O'Neill,0,8,97164.0,7682,0.87
13,1980-08-24,MORNING'S AT SEVEN 1980,Play,Lyceum,0,8,109046.0,6931,0.93
